disease,precaution_1,precaution_2,precaution_3,precaution_4
Varicose veins,"• Avoid standing or sitting in the same position for very long periods; move regularly.
• Elevate the legs when resting if this reduces swelling.
• Maintain regular walking or other appropriate physical activity.
• Maintain a healthy weight when medically appropriate.
• Use compression stockings only when recommended and properly fitted by a healthcare professional.
• Keep the skin of the legs moisturized and monitor for sores or skin changes.
• Pregnancy can increase varicose veins; discuss severe swelling, pain, or skin changes with a healthcare professional.
• Older adults should be assessed for falls and circulation problems when leg swelling or pain affects mobility.
• Children with unusual or rapidly developing varicose veins should receive medical evaluation.
• Sudden one-sided leg swelling, warmth, redness, severe pain, chest pain, or shortness of breath requires urgent medical assessment.",use oinments,use vein compression,dont stand still for long
AIDS,"• Take HIV treatment exactly as prescribed and avoid skipping doses.
• Attend regular medical appointments to monitor viral load, immune status, and treatment response.
• Use condoms or other recommended barrier protection to reduce transmission of HIV and other sexually transmitted infections.
• Do not share needles, syringes, razors, toothbrushes, or other items that may carry blood.
• Keep vaccinations and preventive healthcare up to date according to medical advice.
• Seek prompt medical care for fever, persistent cough, unexplained weight loss, prolonged diarrhea, or recurrent infections.
• Pregnant women living with HIV should receive specialized medical care because appropriate treatment can greatly reduce transmission to the baby.
• Babies born to mothers with HIV need specialist testing, preventive treatment, and follow-up according to local medical protocols.
• Older adults with HIV should receive regular review of medicines and other health conditions because interactions can occur.
• Do not rely on symptoms to determine HIV status; testing and professional medical evaluation are required.",wear ppe if possible,consult doctor,follow up
Paralysis (brain hemorrhage),"• Treat sudden neurological symptoms as an emergency rather than waiting for them to improve.
• Control blood pressure and other cardiovascular risk factors according to medical advice.
• Do not stop prescribed blood-pressure, blood-thinning, or other medicines without professional guidance.
• Avoid smoking and limit alcohol to reduce vascular risk.
• After a hemorrhage, follow the rehabilitation plan for movement, speech, swallowing, and daily activities.
• Prevent falls and use mobility aids when recommended.
• Caregivers should follow swallowing and feeding instructions if swallowing is impaired.
• Older adults may need additional support for falls, medication management, and rehabilitation.
• Pregnant or recently postpartum women with sudden severe headache, weakness, seizures, or neurological symptoms require emergency evaluation.
• Any sudden facial drooping, arm weakness, speech difficulty, severe headache, seizure, loss of consciousness, or worsening paralysis requires emergency services immediately.",eat healthy,exercise,consult doctor
Typhoid,"• Take the complete antibiotic course exactly as prescribed.
• Use safe drinking water and eat properly cooked food.
• Wash hands thoroughly after using the toilet and before preparing or eating food.
• Avoid preparing food for others while infected until a healthcare professional confirms it is safe.
• Do not share antibiotics or use leftover antibiotics because resistance and incorrect treatment can occur.
• Follow-up testing may be required in some cases to confirm recovery or assess ongoing infection.
• Pregnant women with suspected typhoid should seek medical advice promptly for pregnancy-appropriate treatment.
• Children should be assessed by a healthcare professional for persistent fever rather than being treated with leftover medicines.
• Older adults may become dehydrated or develop complications more quickly and should be monitored closely.
• Persistent high fever, severe abdominal pain, confusion, intestinal bleeding, dehydration, or worsening symptoms requires prompt medical care.",antiboitic therapy,consult doctor,medication
Hepatitis B,"• Get vaccinated against hepatitis B when recommended and ensure appropriate doses are completed.
• Do not share needles, syringes, razors, toothbrushes, or other items that may carry blood.
• Use barrier protection during sex when advised, especially if a partner's infection status is unknown.
• Cover cuts and wounds and dispose of blood-contaminated materials safely.
• Take prescribed antiviral treatment consistently when treatment is indicated.
• Attend regular liver and hepatitis monitoring appointments.
• Avoid excessive alcohol because it can increase liver damage.
• Pregnant women should receive hepatitis B testing and appropriate medical care to reduce the risk of transmission to the baby.
• Babies born to mothers with hepatitis B need timely preventive treatment and vaccination according to local medical protocols.
• Older adults with hepatitis B should have regular review of liver health and medicines.
• Do not rely on symptoms to determine infection; testing is required.",vaccination,eat healthy,medication
Fungal infection,"• Keep the affected skin clean and completely dry; gently dry skin folds after bathing.
• Do not share towels, clothes, socks, shoes, razors, or other personal items.
• Change damp clothes, socks, and underwear promptly and wash them regularly.
• Avoid scratching the affected area because broken skin can lead to a secondary bacterial infection.
• Follow the complete antifungal treatment recommended by a healthcare professional; do not stop early simply because symptoms improve.
• Do not apply steroid creams to a suspected fungal rash unless specifically prescribed, because steroids can worsen or mask some fungal infections.
• For babies and children, seek professional advice before using antifungal medicines and keep the affected area dry.
• For older adults or people with diabetes or reduced immunity, seek medical advice early because infections may be harder to treat.
• Seek care if the infection spreads rapidly, becomes painful, produces pus, or does not improve with appropriate treatment.",use detol or neem in bathing water,keep infected area dry,use clean cloths
Hepatitis C,"• Seek appropriate blood testing if you may have been exposed to hepatitis C.
• Do not share needles, syringes, razors, toothbrushes, or equipment that may contain blood.
• Cover open wounds and clean blood spills safely according to healthcare guidance.
• Take prescribed antiviral treatment exactly as directed; modern treatment can cure most infections.
• Avoid or minimize alcohol because it can worsen liver injury.
• Do not start supplements or herbal products without checking with a healthcare professional.
• Attend follow-up appointments to assess treatment response and liver health.
• Pregnant women with hepatitis C should receive pregnancy-specific medical guidance and appropriate follow-up.
• Children exposed to hepatitis C through pregnancy or other routes may require age-appropriate testing.
• Older adults may need medication review because liver function and other medicines can affect treatment choices.
• Seek care for jaundice, vomiting blood, black stools, severe abdominal swelling, or confusion.",vaccination,eat healthy,medication
Migraine,"• Keep a regular sleep schedule and avoid large changes in sleep patterns.
• Do not regularly skip meals; maintain adequate hydration.
• Track headaches and possible triggers such as stress, poor sleep, dehydration, hormonal changes, or specific foods.
• Rest in a quiet, dark environment during an attack if that provides relief.
• Take prescribed migraine medicines early in an attack when instructed.
• Avoid frequent use of pain medicines because medication-overuse headaches can develop.
• Pregnant women should discuss migraine medicines with a healthcare professional because some medicines are not suitable during pregnancy.
• Children and adolescents with frequent headaches should be evaluated rather than repeatedly treated with adult medicines.
• Older adults with a new or changing headache pattern should receive medical assessment.
• A sudden, extremely severe headache or headache with weakness, confusion, fainting, seizure, or speech difficulty requires emergency care.",reduce stress,use poloroid glasses in sun,consult doctor
Bronchial Asthma,"• Use controller and rescue inhalers exactly according to your asthma action plan.
• Learn and regularly review correct inhaler technique; ask a healthcare professional to check your technique.
• Identify personal triggers such as smoke, dust, pollen, pets, exercise, cold air, or respiratory infections.
• Avoid cigarette smoke and secondhand smoke.
• Keep prescribed rescue medication available, especially when away from home.
• Do not stop long-term asthma controller treatment without medical advice even when symptoms improve.
• Children should have an age-appropriate asthma action plan shared with caregivers, school staff, or other responsible adults when appropriate.
• Pregnant women with asthma should continue appropriate medical care rather than stopping treatment on their own.
• Older adults should have inhaler technique and medication interactions reviewed regularly.
• Seek emergency care for severe breathlessness, blue or gray lips, inability to speak normally, severe drowsiness, or rapidly worsening symptoms.",take deep breaths,get away from trigger,seek help
Alcoholic hepatitis,"• Stop further alcohol exposure with a medically appropriate plan; people who drink heavily should seek professional advice before abruptly stopping because withdrawal can be dangerous.
• Attend medical appointments for liver tests and assessment of disease severity.
• Do not use unapproved herbal products or supplements marketed as liver cleanses.
• Take prescribed medicines exactly as directed.
• Follow nutrition advice from a healthcare professional; adequate nutrition is often important in liver disease.
• Avoid unnecessary medicines that may further affect the liver and check with a healthcare professional before using them.
• Pregnant women with alcohol-related liver concerns need prompt specialist medical care.
• Older adults may have a higher risk of complications and medication interactions and should have regular review.
• Seek urgent care for confusion, vomiting blood, black stools, severe abdominal swelling, fever, or rapidly worsening jaundice.
• Do not assume that liver disease will improve without stopping the harmful exposure and receiving medical care.",consult doctor,medication,follow up
Jaundice,"• Seek medical evaluation for new yellowing of the skin or eyes because jaundice has many possible causes.
• Avoid alcohol until the cause has been assessed.
• Do not start herbal remedies, supplements, or non-prescribed medicines without checking with a healthcare professional.
• Drink adequate fluids unless a healthcare professional has prescribed fluid restriction.
• Follow recommended blood tests and liver or gallbladder investigations.
• Use medicines only as directed and report worsening yellowing or new symptoms.
• Pregnant women with jaundice, severe itching, abdominal pain, or dark urine should seek prompt medical evaluation.
• Babies with yellow skin or eyes require age-appropriate medical assessment, especially if jaundice appears during the first day of life or the baby is unusually sleepy or feeding poorly.
• Older adults may have multiple possible causes of jaundice and should have their medicines and medical conditions reviewed.
• Confusion, severe abdominal pain, fever, bleeding, vomiting, or rapidly worsening jaundice requires urgent medical care.",consume milk thistle,eat fruits and high fiberous food,medication
Hepatitis E,"• Use safe drinking water and properly cooked food.
• Wash hands thoroughly after using the toilet and before eating or preparing food.
• Avoid alcohol while recovering and follow liver-related medical advice.
• Take medicines only as recommended and avoid unnecessary supplements or herbal products.
• Seek medical evaluation if jaundice, dark urine, persistent vomiting, or significant weakness develops.
• Pregnant women with suspected hepatitis E should seek prompt medical care because severe disease can occur during pregnancy.
• Infants and young children with significant vomiting, poor feeding, dehydration, or jaundice need medical assessment.
• Older adults and people with weakened immunity may require closer monitoring.
• Follow public-health advice if infection is confirmed.
• Confusion, severe dehydration, significant bleeding, or rapidly worsening jaundice requires urgent medical care.",rest,consult doctor,medication
Dengue,"• Seek medical evaluation when dengue is suspected, especially with high fever and significant body pain.
• Drink adequate fluids and follow medical advice about hydration.
• Rest and monitor symptoms carefully, including during the period when fever begins to improve.
• Avoid aspirin and NSAID medicines such as ibuprofen or naproxen unless a healthcare professional specifically advises otherwise because of bleeding risk.
• Use acetaminophen/paracetamol only according to the recommended dose and professional advice.
• Prevent mosquito bites during illness to reduce the chance of mosquitoes spreading the virus to others.
• Pregnant women with suspected dengue should seek prompt medical assessment.
• Babies, young children, and older adults should be monitored closely for dehydration and worsening symptoms.
• Watch particularly for severe abdominal pain, repeated vomiting, bleeding, unusual sleepiness, restlessness, or breathing difficulty.
• Any warning sign or sudden deterioration requires urgent medical care.",avoid fatty spicy food,keep mosquitos away,keep hydrated
Hepatitis D,"• Prevent hepatitis B through vaccination because hepatitis D requires hepatitis B infection.
• If you have hepatitis B, follow medical advice about testing for hepatitis D.
• Take prescribed treatment and attend regular liver monitoring appointments.
• Avoid sharing needles, razors, toothbrushes, or other items that can carry blood.
• Use appropriate barrier protection during sex when advised.
• Avoid excessive alcohol and unapproved supplements that can add stress to the liver.
• Pregnant women with hepatitis B should receive specialist medical guidance about hepatitis D risk and monitoring.
• Children who may have been exposed should receive age-appropriate testing and medical follow-up.
• Older adults should have regular review of medicines and liver function.
• Seek urgent care for severe jaundice, confusion, vomiting blood, black stools, severe abdominal pain, or rapidly worsening illness.",medication,eat healthy,follow up
Heart attack,"• Treat suspected heart-attack symptoms as an emergency and seek emergency medical care immediately.
• Call local emergency services rather than driving yourself when severe symptoms occur.
• Take prescribed heart and blood-pressure medicines consistently.
• Control blood pressure, cholesterol, diabetes, and other cardiovascular risk factors.
• Avoid smoking and secondhand smoke.
• Follow a heart-healthy eating pattern and maintain physical activity as recommended after medical evaluation.
• Attend cardiac rehabilitation when recommended after a heart attack.
• Women may have symptoms such as unusual fatigue, nausea, shortness of breath, or back/jaw discomfort without classic severe chest pain; do not ignore these symptoms.
• Older adults may have less typical symptoms and should receive prompt assessment for new unexplained breathlessness, weakness, or discomfort.
• Pregnant or recently postpartum women with chest pain or shortness of breath require urgent assessment because serious cardiovascular and pregnancy-related causes are possible.
• Chest pressure, pain spreading to the arm/jaw/back, severe breathlessness, sweating, fainting, or sudden deterioration requires emergency care.",chew or swallow asprin,keep calm,
Pneumonia,"• Seek medical evaluation when pneumonia is suspected, particularly with fever, cough, chest pain, or breathing difficulty.
• Take prescribed antibiotics or other treatment exactly as directed and complete the course when antibiotics are prescribed.
• Rest and maintain adequate fluid intake unless medically restricted.
• Avoid smoking and secondhand smoke.
• Practice hand hygiene and respiratory etiquette to reduce spread of respiratory infections.
• Follow vaccination recommendations for influenza, COVID-19, pneumococcal disease, and other infections relevant to your age and health.
• Babies and young children should be monitored for fast breathing, poor feeding, chest indrawing, or unusual sleepiness.
• Pregnant women with suspected pneumonia should seek prompt medical assessment because breathing infections can become more serious.
• Older adults may show confusion or weakness instead of a high fever and should be assessed promptly when respiratory symptoms occur.
• Severe breathing difficulty, blue or gray lips, confusion, severe chest pain, or rapidly worsening symptoms requires emergency care.",medication,rest,follow up
